chain,address,exchange,name_tag,confidence,source
EVM,0x35efe40ceddb8dfa27f0c3e4cd65b711c29cb5d8,CoinDCX,CoinDCX 46,single-source,dune-spellbook
EVM,0x3698cc7f524bade1a05e02910538f436a3e94384,CoinDCX,CoinDCX 2,single-source,dune-spellbook
EVM,0x37b6bd5fece5b88b6e8e825196bcc868a2feed51,CoinDCX,CoinDCX 3,single-source,dune-spellbook
EVM,0x38f76d1c8fcc854fb4d2416ddaec8df41ab60867,CoinDCX,CoinDCX 4,single-source,dune-spellbook
EVM,0x44a69d8443521969ffdc8a0721ad1013582d7097,CoinDCX,CoinDCX Gas Supplier 4,single-source,dune-spellbook
EVM,0x4928b328d4261120a493dfdb32b6d4cc57d58850,CoinDCX,CoinDCX 47,single-source,dune-spellbook
EVM,0x4d24eececb86041f47bca41265319e9f06ae2fcb,CoinDCX,CoinDCX 5,single-source,dune-spellbook
EVM,0x50b0063161e507bec6c21cc23fd11ec2945b7b52,CoinDCX,CoinDCX 31,confirmed,etherscan public tag + dune-spellbook
EVM,0x529c070deaf3872609fe167ea7b7037a62ed5257,CoinDCX,CoinDCX 49,single-source,dune-spellbook
EVM,0x59548449926551acb5480d610292c4266b872bef,CoinDCX,CoinDCX 32,single-source,dune-spellbook
EVM,0x5fed0d9be6fd42e086e0d4f1bf6cecd19635dead,CoinDCX,CoinDCX 33,single-source,dune-spellbook
EVM,0x660e3bd3bcda11538fa331282666f1d001b87a42,CoinDCX,CoinDCX 6,confirmed,etherscan public tag + dune-spellbook
EVM,0x6d92f2e52481ce219d201eaa1b0cf6839270152f,CoinDCX,CoinDCX 35,single-source,dune-spellbook
EVM,0x7157bb38613c5362e59dfd769c2fcf4996b4cc8b,CoinDCX,CoinDCX 45,single-source,dune-spellbook
EVM,0x763104507945b6b7f21ee68b92048a53f7debf18,CoinDCX,CoinDCX 7,single-source,dune-spellbook
EVM,0x78bba2389c2ceeb6f94c70ed133712e3b3e2c4d0,CoinDCX,CoinDCX 8,single-source,dune-spellbook
EVM,0x7cccf66db1a0d4069a52a0c26859edbc34177065,CoinDCX,CoinDCX 36,single-source,dune-spellbook
EVM,0x881f982575a3ecbea6fe133ddb0951303215d130,CoinDCX,CoinDCX 9,single-source,dune-spellbook
EVM,0x892787c947fdd1cf6c525c6107d80265d3d7ebb4,CoinDCX,CoinDCX 10,single-source,dune-spellbook
EVM,0x8c7efd5b04331efc618e8006f19019a3dc88973e,CoinDCX,CoinDCX 11,single-source,dune-spellbook
EVM,0x90f76616d34cb6a1f4423b33c0201b2a1980fc81,CoinDCX,CoinDCX 41,single-source,dune-spellbook
EVM,0x978e746330870627cc353092edd2dba3cc99461c,CoinDCX,CoinDCX 42,single-source,dune-spellbook
EVM,0xa15b94629727152c952a6979d899f71426ce7976,CoinDCX,CoinDCX 12,single-source,dune-spellbook
EVM,0xa4fe2f90a8991a410c825c983cbb6a92d03607fc,CoinDCX,CoinDCX 13,single-source,dune-spellbook
EVM,0xa916a54af7553bae6172e510d067826bd204d0dd,CoinDCX,CoinDCX 14,single-source,dune-spellbook
EVM,0xaa8bc1fc0fcfdca5b7e5d35e5ac13800850d90c7,CoinDCX,CoinDCX 15,single-source,dune-spellbook
EVM,0xabd9193388c58d7e9f45ff5e4ca741212d1ec827,CoinDCX,CoinDCX Gas Supplier 2,single-source,dune-spellbook
EVM,0xada1fa671651d335998c6a0de336a78f5b49ad3f,CoinDCX,CoinDCX 34,single-source,dune-spellbook
EVM,0xb188a49da0836c289dcb4fa0e856647a33de537f,CoinDCX,CoinDCX 19,single-source,dune-spellbook
EVM,0xb6dfcf39503dddde140105954a819e944ce543a7,CoinDCX,CoinDCX 20,single-source,dune-spellbook
EVM,0xb79421720b92180487f71f13c5d5d8b9eca27bf1,CoinDCX,CoinDCX 21,single-source,dune-spellbook
